,ACCLASS,AG_DRIV,ALCOHOL,AUTOMOBILE,CYCLIST,DATE,DISABILITY,EMERG_VEH,HOOD_ID,HOUR,INITDIR,INVAGE,LIGHT,LOCCOORD,MANOEUVER,MOTORCYCLE,PASSENGER,PEDESTRIAN,RDSFCOND,REDLIGHT,ROAD_CLASS,SPEEDING,TRAFFCTL,TRSN_CITY_VEH,TRUCK,VISIBILITY
26,0,1,0,1,0,3,0,0,51,3,West,25 to 29,Dark,Intersection,Going Ahead,0,1,0,Dry,0,Minor Arterial,0,Passive Control,0,0,Clear
31,0,1,0,1,0,3,0,0,51,3,North,15 to 19,Dark,Intersection,Going Ahead,0,1,0,Dry,0,Minor Arterial,0,Passive Control,0,0,Clear
32,0,1,1,1,0,3,0,0,27,21,West,25 to 29,Dark,Mid-Block,Going Ahead,0,0,0,Dry,0,Major Arterial,1,No Control,0,0,Clear
33,0,1,1,1,0,3,0,0,27,21,East,20 to 24,Dark,Mid-Block,Making U Turn,0,0,0,Dry,0,Major Arterial,1,No Control,0,0,Clear
35,0,1,0,1,0,3,0,0,91,2,West,25 to 29,Dark,Intersection,Going Ahead,0,1,0,Dry,0,Major Arterial,1,No Control,0,0,Clear
37,0,1,0,1,0,3,0,0,116,17,West,25 to 29,Daylight,Intersection,Stopped,0,1,0,Dry,1,Major Arterial,0,Passive Control,0,0,Clear
38,0,1,0,1,0,3,0,0,116,17,East,40 to 44,Daylight,Intersection,Going Ahead,0,1,0,Dry,1,Major Arterial,0,Passive Control,0,0,Clear
41,0,1,0,1,0,3,0,0,116,17,North,50 to 54,Daylight,Intersection,Going Ahead,0,1,0,Dry,1,Major Arterial,0,Passive Control,0,0,Clear
42,0,1,0,1,0,3,0,0,116,17,West,20 to 24,Daylight,Intersection,Stopped,0,1,0,Dry,1,Major Arterial,0,Passive Control,0,0,Clear
43,0,0,0,1,0,3,0,0,137,7,East,20 to 24,Daylight,Mid-Block,Going Ahead,0,0,1,Dry,0,Minor Arterial,0,Passive Control,0,0,Clear
46,0,1,0,1,0,3,0,0,30,21,North,25 to 29,Dark,Intersection,Slowing or Stopping,0,1,0,Dry,0,Major Arterial,0,Passive Control,0,0,Clear
47,0,1,0,1,0,3,0,0,30,21,North,30 to 34,Dark,Intersection,Going Ahead,0,1,0,Dry,0,Major Arterial,0,Passive Control,0,0,Clear
48,0,0,0,1,0,3,1,0,29,14,North,50 to 54,Daylight,Mid-Block,Going Ahead,0,0,0,Dry,0,Major Arterial,0,No Control,0,0,Clear
49,0,0,0,1,0,3,1,0,29,14,South,70 to 74,Daylight,Mid-Block,Going Ahead,0,0,0,Dry,0,Major Arterial,0,No Control,0,0,Clear
53,0,0,0,1,0,3,0,0,111,11,North,45 to 49,Daylight,Mid-Block,Going Ahead,0,1,0,Wet,0,Major Arterial,0,No Control,0,0,Rain
55,0,0,0,1,0,3,0,0,111,11,North,15 to 19,Daylight,Mid-Block,Making U Turn,0,1,0,Wet,0,Major Arterial,0,No Control,0,0,Rain
58,0,0,0,1,0,3,0,0,92,16,North,35 to 39,Daylight,Intersection,Going Ahead,0,0,0,Dry,0,Minor Arterial,0,No Control,0,0,Clear
61,0,0,0,1,0,3,0,0,95,16,West,45 to 49,Daylight,Mid-Block,Going Ahead,0,0,1,Dry,0,Major Arterial,0,No Control,0,0,Clear
65,0,1,0,1,0,4,0,0,115,22,North,30 to 34,Dark,Intersection,Stopped,0,1,0,Dry,0,Major Arterial,1,Passive Control,0,0,Clear
67,0,1,0,1,0,4,0,0,115,22,North,30 to 34,Dark,Intersection,Overtaking,0,1,0,Dry,0,Major Arterial,1,Passive Control,0,0,Clear
68,0,1,0,1,0,4,0,0,77,23,East,50 to 54,Dark,Mid-Block,Going Ahead,0,1,0,Dry,0,Major Arterial,0,No Control,0,0,Clear
71,0,1,0,1,0,4,0,0,77,23,East,20 to 24,Dark,Mid-Block,Stopped,0,1,0,Dry,0,Major Arterial,0,No Control,0,0,Clear
72,0,1,0,1,0,4,0,0,77,23,East,25 to 29,Dark,Mid-Block,Going Ahead,0,1,0,Dry,0,Major Arterial,0,No Control,0,0,Clear
73,0,1,0,1,0,4,0,0,77,23,East,30 to 34,Dark,Mid-Block,Going Ahead,0,1,0,Dry,0,Major Arterial,0,No Control,0,0,Clear
74,0,0,0,1,0,4,1,0,44,17,South,55 to 59,Daylight,Mid-Block,Going Ahead,0,0,0,Dry,0,Major Arterial,0,No Control,0,0,Clear
76,0,0,0,1,0,4,0,0,88,16,North,50 to 54,Daylight,Intersection,Going Ahead,0,0,1,Wet,0,Major Arterial,0,Passive Control,0,0,Rain
79,0,0,1,1,0,4,0,0,42,2,South,40 to 44,Dark,Mid-Block,Going Ahead,0,0,0,Dry,0,Major Arterial,0,No Control,0,0,Clear
81,0,0,0,1,0,4,0,0,101,13,North,60 to 64,Daylight,Intersection,Turning Right,0,0,1,Dry,0,Collector,0,Passive Control,0,0,Clear
83,0,0,0,1,1,4,0,0,76,15,South,45 to 49,Daylight,Intersection,Stopped,0,0,0,Dry,0,Major Arterial,0,Passive Control,0,0,Clear
85,0,0,0,1,0,4,0,0,32,18,West,15 to 19,Daylight,Mid-Block,Going Ahead,0,0,1,Dry,0,Local,0,No Control,0,0,Clear
87,0,1,0,1,0,4,0,0,139,15,East,40 to 44,Daylight,Mid-Block,Slowing or Stopping,0,0,0,Wet,0,Major Arterial,1,No Control,0,0,Rain
89,0,1,0,1,0,4,0,0,139,15,East,55 to 59,Daylight,Mid-Block,Slowing or Stopping,0,0,0,Wet,0,Major Arterial,1,No Control,0,0,Rain
91,0,0,0,0,0,4,0,0,128,11,North,30 to 34,Daylight,Mid-Block,Turning Right,1,0,0,Dry,0,Major Arterial,0,No Control,0,0,Clear
92,0,1,0,1,0,4,0,0,73,17,East,55 to 59,Daylight,Intersection,Stopped,1,0,0,Dry,0,Major Arterial,0,Passive Control,0,0,Clear
93,0,1,0,1,0,4,0,0,73,17,East,40 to 44,Daylight,Intersection,Changing Lanes,1,0,0,Dry,0,Major Arterial,0,Passive Control,0,0,Clear
94,0,1,0,1,0,4,0,0,10,15,East,45 to 49,Daylight,Intersection,Going Ahead,0,0,0,Dry,0,Major Arterial,0,Passive Control,0,0,Clear
95,0,1,0,1,0,4,0,0,10,15,East,60 to 64,Daylight,Intersection,Stopped,0,0,0,Dry,0,Major Arterial,0,Passive Control,0,0,Clear
96,0,0,0,1,0,4,0,0,126,16,South,40 to 44,Daylight,Mid-Block,Going Ahead,1,0,0,Dry,0,Major Arterial,0,No Control,0,0,Clear
97,0,0,0,1,0,4,0,0,126,16,South,40 to 44,Daylight,Mid-Block,Turning Left,1,0,0,Dry,0,Major Arterial,0,No Control,0,0,Clear
98,0,1,0,1,0,4,0,0,73,18,North,55 to 59,Daylight,Intersection,Going Ahead,0,0,0,Dry,0,Major Arterial,1,Passive Control,0,0,Clear
99,0,1,0,1,0,4,0,0,73,18,West,25 to 29,Daylight,Intersection,Going Ahead,0,0,0,Dry,0,Major Arterial,1,Passive Control,0,0,Clear
100,0,0,0,1,0,5,1,0,40,18,East,40 to 44,Daylight,Intersection,Stopped,0,1,0,Dry,0,Major Arterial,0,Passive Control,0,0,Clear
102,0,0,0,1,0,5,1,0,40,18,South,25 to 29,Daylight,Intersection,Going Ahead,0,1,0,Dry,0,Major Arterial,0,Passive Control,0,0,Clear
103,0,0,0,1,0,5,1,0,40,18,North,90 to 94,Daylight,Intersection,Turning Left,0,1,0,Dry,0,Major Arterial,0,Passive Control,0,0,Clear
104,0,0,0,1,0,5,0,0,128,23,West,50 to 54,Dark,Mid-Block,Going Ahead,0,0,1,Dry,0,Major Arterial,0,No Control,0,0,Clear
107,0,0,0,1,0,5,0,0,9,14,West,65 to 69,Daylight,Mid-Block,Going Ahead,0,1,0,Dry,0,Local,0,No Control,0,0,Clear
111,0,0,0,1,0,5,0,0,99,19,West,55 to 59,Dark,Intersection,Going Ahead,0,0,0,Dry,0,Major Arterial,0,Passive Control,0,0,Clear
112,0,0,0,1,0,5,0,0,99,19,West,55 to 59,Dark,Intersection,Slowing or Stopping,0,0,0,Dry,0,Major Arterial,0,Passive Control,0,0,Clear
113,0,0,0,1,0,5,0,0,16,7,North,65 to 69,Daylight,Intersection,Turning Left,0,1,0,Dry,0,Major Arterial,0,Passive Control,0,0,Clear
116,0,0,0,1,0,5,0,0,16,7,East,35 to 39,Daylight,Intersection,Going Ahead,0,1,0,Dry,0,Major Arterial,0,Passive Control,0,0,Clear
117,0,1,0,1,0,5,0,0,87,16,East,25 to 29,Daylight,Intersection,Stopped,1,0,0,Dry,0,Major Arterial,0,Passive Control,0,0,Clear
118,0,1,0,1,0,5,0,0,87,16,East,15 to 19,Daylight,Intersection,Slowing or Stopping,1,0,0,Dry,0,Major Arterial,0,Passive Control,0,0,Clear
120,0,1,0,1,0,5,0,0,131,6,North,45 to 49,Daylight,Mid-Block,Going Ahead,0,0,0,Wet,0,Collector,0,No Control,0,0,Rain
121,0,1,0,1,0,5,0,0,131,6,South,50 to 54,Daylight,Mid-Block,Overtaking,0,0,0,Wet,0,Collector,0,No Control,0,0,Rain
122,0,1,0,1,0,5,0,0,98,7,South,25 to 29,Daylight,Intersection,Going Ahead,1,0,0,Wet,0,Major Arterial,0,Passive Control,0,0,Rain
123,0,1,0,1,0,5,0,0,98,7,East,25 to 29,Daylight,Intersection,Turning Left,1,0,0,Wet,0,Major Arterial,0,Passive Control,0,0,Rain
125,0,0,0,1,0,5,0,0,106,15,South,80 to 84,Daylight,Mid-Block,Going Ahead,0,0,1,Wet,0,Minor Arterial,0,No Control,0,0,Rain
127,0,0,0,1,0,5,0,0,26,17,East,15 to 19,Daylight,Mid-Block,Going Ahead,0,0,1,Wet,0,Major Arterial,0,No Control,0,0,Rain
129,0,0,0,1,0,5,0,0,95,12,East,45 to 49,Daylight,Intersection,Turning Left,0,0,1,Dry,0,Major Arterial,0,Passive Control,0,0,Clear
135,0,1,0,1,0,5,0,0,27,5,West,20 to 24,"Dawn, artificial",Intersection,Changing Lanes,0,0,1,Dry,0,Major Arterial,1,Passive Control,0,0,Clear
136,0,1,0,1,0,5,0,0,27,5,North,30 to 34,"Dawn, artificial",Intersection,Turning Left,0,0,1,Dry,0,Major Arterial,1,Passive Control,0,0,Clear
139,0,1,0,1,0,5,0,0,35,11,South,50 to 54,Daylight,Intersection,Turning Left,0,0,1,Dry,0,Major Arterial,0,Passive Control,0,0,Clear
142,0,1,0,1,1,5,0,0,53,12,West,75 to 79,Daylight,Mid-Block,Overtaking,0,0,0,Dry,0,Local,0,No Control,0,0,Clear
144,1,0,0,1,0,5,0,0,27,18,West,30 to 34,Daylight,Mid-Block,Going Ahead,0,0,1,Wet,0,Local,0,No Control,0,0,Rain
146,0,1,0,1,0,5,0,0,91,11,West,65 to 69,Daylight,Intersection,Turning Left,0,1,0,Dry,0,Collector,0,Passive Control,0,0,Clear
148,0,1,0,1,0,5,0,0,91,11,South,25 to 29,Daylight,Intersection,Going Ahead,0,1,0,Dry,0,Collector,0,Passive Control,0,0,Clear
153,0,1,0,1,0,5,0,0,62,1,South,20 to 24,Dark,Mid-Block,Going Ahead,0,1,1,Wet,0,Major Arterial,1,No Control,0,0,Rain
155,0,0,0,1,0,5,0,0,4,10,West,50 to 54,Daylight,Intersection,Going Ahead,0,0,0,Wet,0,Major Arterial,0,Passive Control,0,0,Rain
157,0,0,0,1,0,5,0,0,4,10,East,15 to 19,Daylight,Intersection,Turning Left,0,0,0,Wet,0,Major Arterial,0,Passive Control,0,0,Rain
158,0,0,0,1,0,5,0,0,4,10,South,45 to 49,Daylight,Intersection,Stopped,0,0,0,Wet,0,Major Arterial,0,Passive Control,0,0,Rain
159,1,1,0,1,0,5,0,0,39,18,West,40 to 44,Daylight,Intersection,Turning Right,0,0,1,Dry,0,Major Arterial,0,Passive Control,0,0,Clear
162,0,1,0,1,0,5,0,0,1,6,North,45 to 49,Daylight,Intersection,Turning Left,0,0,0,Dry,1,Major Arterial,0,Passive Control,0,0,Clear
163,0,1,0,1,0,5,0,0,1,6,South,20 to 24,Daylight,Intersection,Going Ahead,0,0,0,Dry,1,Major Arterial,0,Passive Control,0,0,Clear
165,0,0,0,1,1,5,0,0,75,19,West,50 to 54,Daylight,Mid-Block,Parked,0,0,0,Dry,0,Major Arterial,0,No Control,0,0,Clear
174,0,1,1,1,0,5,0,0,24,23,South,25 to 29,Dark,Mid-Block,Going Ahead,0,1,0,Dry,0,Collector,1,No Control,0,0,Clear
178,0,0,1,1,0,5,0,0,126,5,South,20 to 24,"Dusk, artificial",Intersection,Turning Left,0,1,0,Dry,0,Major Arterial,0,Passive Control,0,0,Clear
180,0,0,0,1,0,5,0,0,8,16,East,40 to 44,Daylight,Intersection,Going Ahead,0,0,0,Other,0,Major Arterial,0,Passive Control,0,0,Clear
182,0,0,0,1,0,5,0,0,8,16,East,40 to 44,Daylight,Intersection,Going Ahead,0,0,0,Other,0,Major Arterial,0,Passive Control,0,0,Clear
184,0,0,0,1,0,5,0,0,8,16,South,45 to 49,Daylight,Intersection,Turning Right,0,0,0,Other,0,Major Arterial,0,Passive Control,0,0,Clear
185,0,0,0,1,0,5,0,0,8,16,East,35 to 39,Daylight,Intersection,Going Ahead,0,0,0,Other,0,Major Arterial,0,Passive Control,0,0,Clear
188,0,0,0,1,0,5,0,0,40,21,South,30 to 34,Dark,Intersection,Turning Left,0,1,0,Dry,0,Major Arterial,0,Passive Control,0,0,Clear
190,0,0,0,1,0,5,0,0,40,21,North,20 to 24,Dark,Intersection,Going Ahead,0,1,0,Dry,0,Major Arterial,0,Passive Control,0,0,Clear
191,1,1,0,0,0,5,0,0,71,23,East,25 to 29,Dark,Mid-Block,Going Ahead,1,0,0,Dry,0,Minor Arterial,0,No Control,0,0,Clear
195,0,1,1,1,0,6,0,0,138,12,South,20 to 24,Daylight,Intersection,Going Ahead,0,1,0,Dry,0,Major Arterial,0,Passive Control,0,0,Clear
196,0,1,1,1,0,6,0,0,138,12,North,25 to 29,Daylight,Intersection,Turning Left,0,1,0,Dry,0,Major Arterial,0,Passive Control,0,0,Clear
197,1,0,0,1,0,6,0,0,63,7,South,35 to 39,Daylight,Intersection,Going Ahead,0,0,1,Dry,0,Major Arterial,0,Passive Control,0,0,Clear
200,0,1,0,1,0,6,0,0,94,18,North,20 to 24,Daylight,Intersection,Turning Left,0,0,1,Wet,0,Major Arterial,0,Passive Control,0,0,Rain
202,0,0,0,1,0,6,1,0,129,16,South,45 to 49,Daylight,Mid-Block,Slowing or Stopping,0,0,0,Dry,0,Major Arterial,0,No Control,0,0,Clear
208,0,0,0,1,1,6,0,0,126,10,South,45 to 49,Daylight,Intersection,Going Ahead,0,0,0,Dry,0,Major Arterial,0,Passive Control,0,0,Clear
209,0,0,0,1,0,8,0,0,4,9,North,65 to 69,Daylight,Mid-Block,Going Ahead,0,0,1,Dry,0,Major Arterial,0,No Control,0,0,Clear
215,0,1,0,1,0,8,0,0,50,10,East,40 to 44,Daylight,Intersection,Turning Left,0,0,1,Dry,0,Major Arterial,0,Passive Control,0,0,Clear
218,0,0,0,0,0,6,0,0,76,13,West,35 to 39,Daylight,Mid-Block,Going Ahead,0,0,1,Dry,0,Major Arterial,0,No Control,1,0,Clear
220,0,1,0,1,0,6,0,0,110,17,South,40 to 44,Daylight,Intersection,Stopped,0,1,0,Wet,0,Major Arterial,0,Passive Control,0,1,Rain
222,0,1,0,1,0,6,0,0,110,17,West,20 to 24,Daylight,Intersection,Going Ahead,0,1,0,Wet,0,Major Arterial,0,Passive Control,0,1,Rain
224,0,0,0,1,1,6,0,0,111,9,East,70 to 74,Daylight,Intersection,Turning Left,0,0,0,Dry,0,Minor Arterial,0,No Control,0,0,Clear
229,0,1,0,1,0,6,0,0,119,0,West,20 to 24,Dark,Intersection,Turning Right,0,1,0,Dry,0,Major Arterial,1,Passive Control,0,0,Clear
231,0,0,0,1,0,6,0,0,119,9,South,20 to 24,Daylight,Mid-Block,Turning Left,0,1,0,Dry,0,Major Arterial,0,No Control,0,0,Clear
232,0,0,0,1,0,6,0,0,119,9,North,25 to 29,Daylight,Mid-Block,Going Ahead,0,1,0,Dry,0,Major Arterial,0,No Control,0,0,Clear
234,0,1,0,1,0,6,0,0,38,12,South,50 to 54,Daylight,Mid-Block,Overtaking,0,0,1,Dry,0,Minor Arterial,0,No Control,0,0,Clear
237,0,1,0,1,0,7,0,0,47,16,South,30 to 34,Daylight,Intersection,Going Ahead,0,0,0,Dry,1,Major Arterial,0,Passive Control,0,1,Clear
239,0,1,0,1,0,7,0,0,47,16,East,60 to 64,Daylight,Intersection,Going Ahead,0,0,0,Dry,1,Major Arterial,0,Passive Control,0,1,Clear
242,0,1,0,1,0,7,0,0,136,20,East,15 to 19,Daylight,Intersection,Going Ahead,0,1,0,Dry,0,Major Arterial,0,Passive Control,0,0,Clear
243,0,1,0,1,0,7,0,0,136,20,East,40 to 44,Daylight,Intersection,Slowing or Stopping,0,1,0,Dry,0,Major Arterial,0,Passive Control,0,0,Clear
245,0,1,0,1,0,7,0,0,119,21,North,25 to 29,Dark,Intersection,Going Ahead,1,0,0,Dry,0,Major Arterial,0,Passive Control,0,0,Clear
247,0,1,0,1,0,7,0,0,119,21,West,45 to 49,Dark,Intersection,Turning Left,1,0,0,Dry,0,Major Arterial,0,Passive Control,0,0,Clear
249,0,1,0,1,0,7,0,0,77,1,East,25 to 29,Dark,Intersection,Going Ahead,0,1,0,Dry,1,Major Arterial,0,Passive Control,0,0,Clear
251,0,1,0,1,0,7,0,0,77,1,South,20 to 24,Dark,Intersection,Going Ahead,0,1,0,Dry,1,Major Arterial,0,Passive Control,0,0,Clear
253,0,0,0,0,0,7,0,0,98,14,North,35 to 39,Daylight,Mid-Block,Going Ahead,0,0,1,Dry,0,Major Arterial,0,No Control,1,0,Clear
255,0,1,0,1,0,7,0,0,77,16,East,25 to 29,Daylight,Intersection,Going Ahead,0,1,0,Dry,0,Major Arterial,0,Passive Control,0,0,Clear
260,0,1,0,1,0,7,0,0,77,16,South,30 to 34,Daylight,Intersection,Going Ahead,0,1,0,Dry,0,Major Arterial,0,Passive Control,0,0,Clear
261,0,1,0,1,0,7,0,0,77,18,West,35 to 39,Daylight,Intersection,Going Ahead,0,1,0,Dry,1,Major Arterial,0,Passive Control,0,0,Clear
265,0,1,0,1,0,7,0,0,77,18,East,20 to 24,Daylight,Intersection,Turning Left,0,1,0,Dry,1,Major Arterial,0,Passive Control,0,0,Clear
267,0,1,0,1,0,7,0,0,17,13,East,45 to 49,Daylight,Mid-Block,Going Ahead,0,1,0,Wet,0,Major Arterial,0,No Control,0,0,Rain
269,0,1,0,1,0,7,0,0,17,13,East,60 to 64,Daylight,Mid-Block,Pulling Away from Shoulder or Curb,0,1,0,Wet,0,Major Arterial,0,No Control,0,0,Rain
271,0,0,0,1,0,7,0,0,2,13,South,25 to 29,Daylight,Intersection,Going Ahead,0,1,0,Dry,0,Minor Arterial,0,Passive Control,0,0,Clear
274,0,0,0,1,0,7,0,0,2,13,North,35 to 39,Daylight,Intersection,Turning Left,0,1,0,Dry,0,Minor Arterial,0,Passive Control,0,0,Clear
275,0,0,0,1,0,7,0,0,63,17,East,85 to 89,Daylight,Intersection,Going Ahead,0,0,1,Dry,0,Minor Arterial,0,Passive Control,0,0,Clear
277,0,1,0,0,0,7,0,0,131,8,North,55 to 59,Daylight,Mid-Block,Turning Left,0,0,1,Dry,0,Minor Arterial,0,No Control,0,0,Clear
279,0,0,0,1,1,7,0,0,107,18,South,55 to 59,Daylight,Mid-Block,Going Ahead,0,0,0,Dry,0,Local,0,No Control,0,0,Clear
282,0,1,0,0,0,7,0,0,11,1,West,30 to 34,Dark,Mid-Block,Going Ahead,1,1,0,Dry,0,Major Arterial,1,No Control,0,0,Clear
285,0,0,0,1,1,7,0,0,76,11,South,45 to 49,Daylight,Intersection,Going Ahead,0,0,0,Dry,0,Minor Arterial,0,Passive Control,0,0,Clear
288,0,0,0,0,0,7,0,0,77,13,South,40 to 44,Daylight,Intersection,Going Ahead,0,0,1,Dry,0,Major Arterial,0,Passive Control,1,0,Clear
291,0,1,0,1,1,7,0,0,84,9,South,20 to 24,Daylight,Intersection,Going Ahead,0,0,0,Dry,1,Minor Arterial,1,Passive Control,0,0,Clear
294,0,0,0,0,0,7,0,0,11,13,East,35 to 39,Daylight,Mid-Block,Going Ahead,0,0,1,Dry,0,Major Arterial,0,No Control,1,0,Clear
297,0,0,0,1,0,7,0,0,102,16,South,35 to 39,Daylight,Intersection,Going Ahead,0,1,0,Dry,0,Major Arterial,0,Passive Control,0,0,Clear
298,0,0,0,1,0,7,0,0,102,16,North,55 to 59,Daylight,Intersection,Turning Left,0,1,0,Dry,0,Major Arterial,0,Passive Control,0,0,Clear
301,0,0,0,1,0,7,1,0,56,12,South,45 to 49,Daylight,Mid-Block,Parked,0,1,0,Dry,0,Major Arterial,0,No Control,0,0,Clear
302,0,0,0,1,0,7,1,0,56,12,South,65 to 69,Daylight,Mid-Block,Changing Lanes,0,1,0,Dry,0,Major Arterial,0,No Control,0,0,Clear
303,0,1,0,1,0,7,0,0,77,19,North,25 to 29,Daylight,Intersection,Going Ahead,1,0,0,Dry,0,Major Arterial,1,Passive Control,0,0,Clear
304,0,1,0,1,0,7,0,0,77,19,West,55 to 59,Daylight,Intersection,Going Ahead,1,0,0,Dry,0,Major Arterial,1,Passive Control,0,0,Clear
306,0,1,0,1,0,7,0,0,40,10,South,40 to 44,Daylight,Intersection,Stopped,0,1,0,Dry,0,Major Arterial,0,Passive Control,0,0,Clear
308,0,1,0,1,0,7,0,0,40,10,South,50 to 54,Daylight,Intersection,Stopped,0,1,0,Dry,0,Major Arterial,0,Passive Control,0,0,Clear
311,0,1,0,1,0,2,0,0,126,9,North,50 to 54,Daylight,Intersection,Turning Left,0,0,1,Wet,0,Major Arterial,0,Passive Control,0,0,Rain
312,0,0,0,1,0,2,0,0,125,8,South,40 to 44,Daylight,Mid-Block,Going Ahead,0,1,0,Dry,0,Major Arterial,0,No Control,0,0,Clear
314,0,0,0,1,0,4,0,0,1,18,North,25 to 29,Dark,Mid-Block,Going Ahead,0,0,1,Wet,0,Major Arterial,0,No Control,0,0,Rain
315,0,1,1,1,0,1,0,0,60,2,North,55 to 59,Dark,Intersection,Going Ahead,0,1,0,Wet,0,Major Arterial,1,No Control,0,0,Clear
317,0,0,0,1,0,2,0,0,89,13,South,50 to 54,Daylight,Mid-Block,Going Ahead,0,0,1,Dry,0,Major Arterial,0,Passive Control,0,0,Clear
319,0,1,0,1,0,2,0,0,88,7,West,30 to 34,Daylight,Intersection,Turning Right,0,0,1,Dry,0,Minor Arterial,0,Passive Control,0,0,Clear
321,0,0,0,1,0,2,0,0,1,15,North,50 to 54,Daylight,Intersection,Turning Left,0,0,1,Dry,0,Major Arterial,0,Passive Control,0,0,Clear
323,0,0,0,1,1,2,0,0,45,18,North,65 to 69,Dark,Intersection,Turning Left,0,0,0,Dry,0,Collector,0,No Control,0,0,Clear
326,0,0,0,1,0,2,0,0,125,8,South,25 to 29,Daylight,Mid-Block,Going Ahead,0,1,0,Dry,0,Major Arterial,0,No Control,0,0,Clear
328,0,0,0,1,0,2,0,0,125,8,South,25 to 29,Daylight,Mid-Block,Going Ahead,0,1,0,Dry,0,Major Arterial,0,No Control,0,0,Clear
329,0,0,0,1,0,2,0,0,125,8,North,30 to 34,Daylight,Mid-Block,Going Ahead,0,1,0,Dry,0,Major Arterial,0,No Control,0,0,Clear
331,0,1,0,1,0,2,0,0,66,8,South,50 to 54,Daylight,Intersection,Going Ahead,0,0,0,Dry,0,Major Arterial,1,No Control,0,0,Clear
333,0,1,0,1,0,2,0,0,66,8,South,45 to 49,Daylight,Intersection,Going Ahead,0,0,0,Dry,0,Major Arterial,1,No Control,0,0,Clear
338,0,1,0,1,0,2,0,0,54,9,South,70 to 74,Daylight,Intersection,Turning Left,0,0,1,Dry,0,Local,0,Passive Control,0,0,Clear
340,0,1,0,1,0,2,0,0,110,5,East,40 to 44,Dark,Intersection,Stopped,0,0,0,Dry,1,Major Arterial,1,Passive Control,0,0,Clear
341,0,1,0,1,0,2,0,0,110,5,East,40 to 44,Dark,Intersection,Stopped,0,0,0,Dry,1,Major Arterial,1,Passive Control,0,0,Clear
342,0,1,0,1,0,2,0,0,110,5,South,55 to 59,Dark,Intersection,Going Ahead,0,0,0,Dry,1,Major Arterial,1,Passive Control,0,0,Clear
343,0,1,0,1,0,2,0,0,110,5,East,35 to 39,Dark,Intersection,Stopped,0,0,0,Dry,1,Major Arterial,1,Passive Control,0,0,Clear
344,0,1,0,1,0,2,0,0,110,5,West,25 to 29,Dark,Intersection,Going Ahead,0,0,0,Dry,1,Major Arterial,1,Passive Control,0,0,Clear
348,1,1,0,0,0,2,0,0,59,9,East,50 to 54,Daylight,Intersection,Turning Left,0,0,1,Dry,0,Local,0,Passive Control,0,0,Clear
349,0,1,0,1,0,2,0,0,5,6,North,40 to 44,Daylight,Mid-Block,Going Ahead,0,0,0,Slush,0,Major Arterial,1,No Control,0,0,Snow
352,0,1,0,1,0,2,0,0,93,21,South,50 to 54,Dark,Mid-Block,Other,0,0,1,Wet,0,Minor Arterial,0,No Control,0,0,Rain
354,0,0,0,1,0,2,0,0,56,15,West,45 to 49,Daylight,Intersection,Going Ahead,0,0,1,Dry,0,Major Arterial,0,Passive Control,0,0,Clear
357,0,1,0,1,0,2,0,0,85,6,West,35 to 39,Dark,Intersection,Going Ahead,0,1,0,Dry,0,Major Arterial,1,No Control,0,0,Clear
